20341401: 180324        : 20341
21201201: 181366        : 21190,21201
21312201: 180752-701    : 21312,21313,21314
21347201: 140884        : 21347
21576201: 141104-046    : 21576,21577
21621201: 141102        : 21621,21622
21857201: 181150        : 21857,21858
22531201: 182198-200    : 22231,22531
23177401: 180674-700    : 21102,21103
23258108: 181271-702    : 21991,21992,21993,21994,21995,21996,23026,23027,23028,23029,23052,23053,23054,23055
23510101: 181583        : 23510,23511,23512,23904,23905,23906,23907
23554410: 180697-703    : 20960,23554
23775201: 181596        : 21193,22348,23775
23901206: 141103        : 21592,21593,21661
24072401: 181659        : 24072,24138
24073303: 181845        : 24073,24515
24073401: 181621-703    : 24073
24498201: 181799        : 24498,24499,24500
24510201: 181798        : 24510,24511,24512
24710201: 181856        : 24709,24710
24883401: 181925-201    : 22956,25438
26188208: 182410-203    : 26206,26207,26208
29153401: 141126-700    : 29076
